LocationID,Borough,Zone,service_zone
2,Queens,Jamaica Bay,Boro Zone
7,Queens,Astoria,Boro Zone
8,Queens,Astoria Park,Boro Zone
9,Queens,Auburndale,Boro Zone
10,Queens,Baisley Park,Boro Zone
15,Queens,Bay Terrace/Fort Totten,Boro Zone
16,Queens,Bayside,Boro Zone
19,Queens,Bellerose,Boro Zone
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone
28,Queens,Briarwood/Jamaica Hills,Boro Zone
30,Queens,Broad Channel,Boro Zone
38,Queens,Cambria Heights,Boro Zone
53,Queens,College Point,Boro Zone
56,Queens,Corona,Boro Zone
57,Queens,Corona,Boro Zone
64,Queens,Douglaston,Boro Zone
70,Queens,East Elmhurst,Boro Zone
73,Queens,East Flushing,Boro Zone
82,Queens,Elmhurst,Boro Zone
83,Queens,Elmhurst/Maspeth,Boro Zone
86,Queens,Far Rockaway,Boro Zone
92,Queens,Flushing,Boro Zone
93,Queens,Flushing Meadows-Corona Park,Boro Zone
95,Queens,Forest Hills,Boro Zone
96,Queens,Forest Park/Highland Park,Boro Zone
98,Queens,Fresh Meadows,Boro Zone
101,Queens,Glen Oaks,Boro Zone
102,Queens,Glendale,Boro Zone
117,Queens,Hammels/Arverne,Boro Zone
121,Queens,Hillcrest/Pomonok,Boro Zone
122,Queens,Hollis,Boro Zone
124,Queens,Howard Beach,Boro Zone
129,Queens,Jackson Heights,Boro Zone
130,Queens,Jamaica,Boro Zone
131,Queens,Jamaica Estates,Boro Zone
132,Queens,JFK Airport,Airports
134,Queens,Kew Gardens,Boro Zone
135,Queens,Kew Gardens Hills,Boro Zone
138,Queens,LaGuardia Airport,Airports
139,Queens,Laurelton,Boro Zone
145,Queens,Long Island City/Hunters Point,Boro Zone
146,Queens,Long Island City/Queens Plaza,Boro Zone
157,Queens,Maspeth,Boro Zone
160,Queens,Middle Village,Boro Zone
171,Queens,Murray Hill-Queens,Boro Zone
173,Queens,North Corona,Boro Zone
175,Queens,Oakland Gardens,Boro Zone
179,Queens,Old Astoria,Boro Zone
180,Queens,Ozone Park,Boro Zone
191,Queens,Queens Village,Boro Zone
192,Queens,Queensboro Hill,Boro Zone
193,Queens,Queensbridge/Ravenswood,Boro Zone
196,Queens,Rego Park,Boro Zone
197,Queens,Richmond Hill,Boro Zone
198,Queens,Ridgewood,Boro Zone
201,Queens,Rockaway Park,Boro Zone
203,Queens,Rosedale,Boro Zone
205,Queens,Saint Albans,Boro Zone
207,Queens,Saint Michaels Cemetery/Woodside,Boro Zone
215,Queens,South Jamaica,Boro Zone
216,Queens,South Ozone Park,Boro Zone
218,Queens,Springfield Gardens North,Boro Zone
219,Queens,Springfield Gardens South,Boro Zone
223,Queens,Steinway,Boro Zone
226,Queens,Sunnyside,Boro Zone
252,Queens,Whitestone,Boro Zone
253,Queens,Willets Point,Boro Zone
258,Queens,Woodhaven,Boro Zone
260,Queens,Woodside,Boro Zone
